lvl3_pcode;lvl3_name;lvl2_pcode;lvl2_name;lvl1_pcode;lvl1_name;week;year;OPD_CONSULT;OPD_CONSULT_c;OPD_M_CASES;OPD_M_CASES_c;IPD_DISCH;IPD_DISCH_c;IPD_M_DISCH;IPD_M_DISCH_c;IPD_M_DEATH;IPD_M_DEATH_c;MOH_CONSULT;MOH_CONSULT_c;MOH_M_CASES;MOH_M_CASES_c
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;40;2018;12;343;8;8;4;4;5;5;3;6;0;0;8;26
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;41;2018;14;357;8;8;5;5;2;7;0;0;12;12;6;6
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;42;2018;9;366;0;0;2;2;4;4;2;2;7;7;6;6
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;43;2018;13;379;0;0;2;2;3;7;3;5;5;5;10;10
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;44;2018;4;383;6;6;2;2;1;1;4;9;9;9;0;0
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;45;2018;1;384;4;4;3;3;3;3;2;2;3;3;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;46;2018;8;392;5;5;2;2;1;1;0;0;11;11;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;47;2018;8;400;9;9;4;4;5;5;2;2;13;13;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;48;2018;1;401;4;4;2;2;1;1;1;1;11;11;1;1
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;49;2018;10;411;7;7;2;2;5;5;0;1;13;13;9;9
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;50;2018;10;421;4;4;4;4;2;2;3;3;2;2;2;2
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;51;2018;0;421;10;10;5;9;1;1;1;1;13;13;6;6
ner003005;tahoua;ner002065;Madaoua;ner001294;aire du csi bangui;52;2018;7;428;3;3;0;9;1;1;5;5;10;23;2;2
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;1;2019;3;3;2;2;4;4;5;5;0;0;0;0;9;9
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;2;2019;4;7;8;8;0;0;4;4;4;4;7;7;2;2
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;3;2019;7;14;1;1;1;1;2;2;3;3;15;15;9;9
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;4;2019;4;18;1;1;2;2;4;6;4;4;6;6;9;9
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;5;2019;9;27;1;1;4;4;4;10;4;4;4;10;2;11
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;6;2019;12;39;9;9;4;4;0;0;3;7;3;3;6;6
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;7;2019;1;40;5;5;1;1;2;2;1;1;12;12;7;7
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;8;2019;10;50;3;3;2;2;1;1;3;3;6;6;3;3
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;9;2019;9;59;3;3;4;4;2;3;4;4;6;6;0;0
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;10;2019;15;74;8;8;2;2;5;5;0;0;5;5;1;1
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;11;2019;3;77;0;0;4;4;3;3;4;4;15;15;4;4
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;12;2019;13;90;9;9;3;3;3;3;1;1;4;19;4;4
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;13;2019;0;90;4;4;4;4;0;0;2;2;5;5;0;0
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;14;2019;10;100;0;0;5;5;1;1;5;5;14;14;8;8
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;15;2019;0;100;6;6;0;0;5;5;4;4;1;1;3;3
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;16;2019;2;102;9;9;2;2;1;1;2;2;7;7;9;9
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;17;2019;0;102;2;2;5;5;3;3;0;0;1;1;7;7
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;18;2019;3;105;8;8;2;2;0;0;2;2;5;5;7;7
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;19;2019;0;105;6;6;0;0;3;3;0;0;7;7;5;5
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;20;2019;13;118;7;7;1;1;2;2;1;1;9;9;6;6
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;21;2019;11;129;9;9;2;2;4;4;3;3;2;2;6;6
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;22;2019;9;138;0;0;3;3;3;3;4;4;5;5;6;6
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;23;2019;5;143;3;3;0;0;2;2;2;2;9;9;6;6
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;24;2019;8;151;5;5;0;0;5;5;3;5;7;7;6;6
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;25;2019;8;159;3;3;4;4;2;2;5;5;1;1;0;0
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;26;2019;14;173;3;3;2;2;2;4;0;0;6;7;5;5
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;27;2018;8;181;3;3;5;5;5;9;4;4;6;6;4;4
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;28;2018;0;181;2;2;1;1;2;2;1;1;15;15;2;2
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;29;2018;5;186;9;9;1;1;3;3;4;5;14;14;8;8
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;30;2018;6;192;0;0;5;5;1;1;1;1;13;13;8;8
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;31;2018;10;202;0;0;1;1;4;5;0;0;6;6;3;3
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;32;2018;8;210;7;7;4;4;0;0;2;2;13;13;2;2
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;33;2018;13;223;2;2;4;4;3;3;0;2;2;2;2;2
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;34;2018;4;227;1;1;4;4;3;3;0;2;7;9;5;7
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;35;2018;6;233;4;4;4;4;2;2;0;2;1;1;5;12
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;36;2018;3;236;0;0;0;0;2;2;5;5;3;4;3;3
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;37;2018;2;238;7;7;4;4;0;0;1;1;10;10;2;2
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;38;2018;9;247;10;10;5;5;5;5;5;5;15;15;10;10
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;39;2018;12;259;4;4;5;5;5;5;4;9;13;28;10;10
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;40;2018;1;260;1;1;3;3;1;1;5;5;6;6;2;2
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;41;2018;0;260;4;4;5;5;2;2;1;1;7;7;5;5
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;42;2018;14;274;10;10;0;0;0;0;2;2;10;10;5;5
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;43;2018;10;284;0;0;0;0;5;5;1;3;7;7;1;1
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;44;2018;2;286;3;3;3;3;1;1;2;2;15;15;1;1
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;45;2018;13;299;0;0;0;0;4;4;2;2;9;9;2;3
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;46;2018;10;309;1;1;4;4;1;1;1;1;0;0;6;6
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;47;2018;4;313;9;9;4;4;3;3;4;5;5;5;9;9
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;48;2018;10;323;5;5;3;3;3;3;1;1;7;12;9;9
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;49;2018;14;337;9;9;5;5;0;0;5;5;6;6;3;3
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;50;2018;3;340;5;5;0;5;5;5;0;0;5;5;7;7
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;51;2018;3;343;7;7;4;4;4;4;1;1;0;0;8;8
ner003001;maradi;ner002066;Madarounfa;ner001494;aire du csi maraka;52;2018;3;346;2;2;3;7;3;3;0;0;12;12;5;5
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;1;2019;3;3;0;0;5;5;3;3;4;4;6;18;0;0
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;2;2019;8;11;3;3;3;3;1;1;1;1;11;11;3;3
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;3;2019;3;14;7;7;4;4;1;1;0;0;15;26;9;9
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;4;2019;14;28;3;3;5;5;1;1;5;5;13;39;5;5
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;5;2019;9;37;0;0;2;2;2;2;3;3;12;12;0;0
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;6;2019;7;44;9;9;1;1;1;1;4;4;13;13;7;7
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;7;2019;7;51;5;5;5;5;2;2;2;2;13;13;9;9
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;8;2019;3;54;8;8;0;0;1;1;1;1;1;1;6;6
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;9;2019;2;56;1;1;4;4;3;3;1;1;13;13;1;7
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;10;2019;12;68;2;2;2;2;1;1;4;4;3;3;4;4
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;11;2019;2;70;3;3;1;1;5;5;1;1;0;0;6;6
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;12;2019;5;75;0;0;3;3;3;3;4;4;3;3;9;9
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;13;2019;12;87;0;0;1;1;5;8;4;4;2;2;5;14
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;14;2019;4;91;9;9;5;5;4;4;3;3;10;10;4;4
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;15;2019;15;106;3;3;3;3;2;2;0;0;14;14;4;4
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;16;2019;8;114;0;0;4;4;5;5;4;4;14;14;8;8
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;17;2019;7;121;3;3;2;2;2;2;3;3;1;1;1;1
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;18;2019;1;122;0;0;5;5;3;3;2;2;2;2;1;1
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;19;2019;0;122;3;3;5;5;3;3;5;7;4;6;7;7
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;20;2019;15;137;2;2;5;5;5;5;4;11;0;0;4;4
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;21;2019;4;141;4;4;3;3;5;5;2;2;7;7;7;7
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;22;2019;10;151;3;3;0;0;5;5;5;5;15;22;9;9
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;23;2019;3;154;2;2;3;3;3;3;2;2;13;13;2;2
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;24;2019;13;167;8;8;5;5;1;1;2;2;7;7;8;10
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;25;2019;8;175;6;6;1;1;1;1;4;4;5;12;10;10
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;26;2019;0;175;2;2;1;1;3;3;5;9;9;9;5;5
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;27;2018;3;178;6;6;3;3;3;3;5;5;2;11;6;11
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;28;2018;11;189;6;6;2;2;3;6;4;4;10;21;4;4
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;29;2018;1;190;0;0;0;0;1;1;2;2;13;13;1;1
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;30;2018;5;195;1;1;3;3;2;2;5;5;2;2;3;3
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;31;2018;8;203;1;1;4;4;1;3;0;0;13;13;7;7
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;32;2018;0;203;0;0;1;1;2;2;4;4;15;15;5;5
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;33;2018;7;210;9;9;4;4;5;5;0;0;6;6;6;6
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;34;2018;8;218;4;4;4;8;2;2;2;2;14;14;7;7
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;35;2018;7;225;4;4;0;0;4;6;3;3;10;10;5;5
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;36;2018;3;228;0;0;1;1;4;4;5;5;15;25;2;2
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;37;2018;8;236;1;1;0;0;1;1;0;0;6;6;10;10
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;38;2018;6;242;1;1;5;5;1;2;2;2;3;9;1;1
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;39;2018;9;251;7;7;0;0;3;3;5;5;12;12;6;6
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;40;2018;3;254;1;1;3;3;0;0;1;1;10;10;7;7
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;41;2018;5;259;2;2;1;1;3;3;1;1;9;9;5;12
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;42;2018;8;267;8;8;2;2;5;5;4;4;15;15;0;0
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;43;2018;8;275;8;8;0;0;2;7;4;4;0;0;8;8
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;44;2018;4;279;1;1;2;2;1;1;4;4;4;4;9;17
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;45;2018;12;291;6;6;1;1;5;5;0;0;15;15;9;9
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;46;2018;0;291;1;1;1;1;5;5;4;4;8;23;1;1
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;47;2018;5;296;0;0;2;2;2;2;4;4;14;14;3;4
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;48;2018;3;299;3;3;1;1;1;1;4;4;4;4;1;5
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;49;2018;15;314;6;6;0;0;0;0;3;3;12;12;9;9
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;50;2018;4;318;3;3;1;1;2;2;5;5;1;1;2;2
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;51;2018;6;324;8;8;3;4;0;0;3;3;6;6;0;0
ner003007;zinder;ner002097;Magaria;ner001844;Aire du CSI Djambirji;52;2018;5;329;3;3;3;7;1;1;4;7;11;11;6;6
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;1;2019;8;8;2;2;0;7;0;0;4;4;10;10;1;7
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;2;2019;1;9;6;6;0;0;3;3;5;9;5;5;5;5
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;3;2019;14;23;6;6;1;1;2;5;2;2;2;2;5;5
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;4;2019;15;38;2;2;1;1;0;0;5;7;6;6;9;9
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;5;2019;4;42;2;2;2;2;4;4;0;0;5;5;5;5
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;6;2019;13;55;2;2;2;2;4;8;3;3;5;10;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;7;2019;11;66;2;2;3;3;5;13;4;4;6;6;0;0
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;8;2019;0;66;6;6;2;2;1;1;4;4;11;11;0;0
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;9;2019;3;69;6;6;1;1;5;6;2;2;3;3;0;0
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;10;2019;3;72;6;6;2;2;4;10;4;4;13;13;10;10
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;11;2019;15;87;10;10;4;4;0;0;3;3;1;1;3;3
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;12;2019;3;90;8;8;4;4;3;3;5;8;14;14;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;13;2019;14;104;8;8;3;3;3;6;5;5;11;25;3;4
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;14;2019;2;106;8;8;1;1;0;6;4;4;6;6;6;6
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;15;2019;14;120;6;6;3;3;3;3;0;0;7;7;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;16;2019;3;123;1;1;3;3;5;5;5;5;14;14;8;8
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;17;2019;13;136;1;1;0;0;5;10;3;3;12;26;7;7
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;18;2019;6;142;6;6;4;4;5;5;4;4;14;40;10;10
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;19;2019;5;147;7;7;4;4;5;5;5;9;0;40;3;3
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;20;2019;6;153;0;0;4;4;0;0;0;9;9;9;2;2
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;21;2019;15;168;0;0;3;3;5;5;2;2;6;6;0;0
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;22;2019;14;182;3;3;0;0;3;3;0;0;8;8;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;23;2019;13;195;6;6;0;0;1;1;3;3;15;15;3;3
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;24;2019;9;204;6;6;5;5;2;3;0;0;9;9;3;3
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;25;2019;12;216;10;10;3;3;1;1;3;3;12;12;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;26;2019;8;224;2;2;1;1;4;4;1;1;15;15;8;8
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;27;2018;5;229;5;5;4;4;1;1;4;4;5;5;10;10
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;28;2018;11;240;5;5;2;2;3;4;1;1;0;0;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;29;2018;12;252;4;4;1;1;4;4;3;3;3;3;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;30;2018;6;258;6;6;0;0;1;1;0;0;5;5;0;0
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;31;2018;2;260;6;6;4;4;1;2;5;5;3;8;0;0
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;32;2018;9;269;4;4;3;3;4;4;2;2;8;8;1;1
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;33;2018;15;284;10;10;4;4;5;5;1;1;1;1;7;7
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;34;2018;5;289;10;10;1;1;5;10;1;1;1;2;8;15
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;35;2018;1;290;5;5;4;4;3;3;1;1;9;9;10;25
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;36;2018;0;290;9;9;3;7;3;3;2;2;7;16;3;3
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;37;2018;10;300;10;10;1;1;4;4;3;3;11;11;5;5
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;38;2018;12;312;6;6;5;5;1;1;3;3;6;6;8;13
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;39;2018;9;321;6;6;2;2;1;2;5;5;5;11;7;7
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;40;2018;1;322;0;0;3;3;2;2;5;5;11;11;1;8
ner003007;zinder;ner002097;Magaria;ner001845;Aire du CSI Gabi;41;2018;3;325;5;5;1;1;1;1;5;5;5;5;3;11
